,Project With Mock,Project Without Mock,,,,,,,,,,,,,,,,,,,,,
Medium,122438,29240.5,,,,,,,,,,,,,,,,,,,,,
Max,1574022,693496,,,,,,,,,,,,,,,,,,,,,
Min,3702,993,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Project Name,commits,contributors,releases,.java Files,LOC,test Files,test LOC,'Mock' imports,Mocking frameworks,No Import Mock File,,,Project Name,commits,contributors,releases,.java Files,LOC,test Files,test LOC,'Mock' imports,Mocking frameworks,No Import Mock File
ant,14870,115,96,1324,146015,412,34589,0,0,4,,,abdera,1500,16,12,679,60506,97,11036,5,1,0
ant-antlibs-antunit,234,15,12,37,3002,15,1157,0,0,0,,,accumulo,11198,179,39,2190,395903,746,103756,112,2,3
ant-antlibs-compress,322,5,13,104,5129,1,20,0,0,0,,,ace,1603,15,0,529,58600,128,17867,16,2,9
ant-antlibs-dotnet,85,3,4,22,2779,1,5,0,0,0,,,activemq,11049,160,74,4323,422294,2106,216057,20,3,0
ant-antlibs-vss,15,5,1,19,993,1,34,0,0,0,,,airavata,9497,85,18,1067,485070,109,10550,3,1,0
ant-ivy,3030,36,20,661,76877,165,25338,0,0,0,,,ambari,24590,232,79,3306,424392,947,185955,429,4,5
ant-ivyde,847,16,9,210,17094,19,338,0,0,0,,,any23,1997,44,25,438,28904,99,8507,5,1,0
